"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03075099999","1934-02-03","58.458889","-3.093056","38.4","WICK, UK","  47.0"," 4","  46.0"," 4","1033.8"," 4","999.9"," 0","  7.5"," 4","  7.0"," 4","  8.9","999.9","  48.0"," ","  46.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-04","58.458889","-3.093056","38.4","WICK, UK","  42.7"," 4","  41.0"," 4","1032.9"," 4","999.9"," 0"," 12.4"," 4","  7.0"," 4","  8.9","999.9","  48.0"," ","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-05","58.458889","-3.093056","38.4","WICK, UK","  43.2"," 4","  40.7"," 4","1023.6"," 4","999.9"," 0"," 12.4"," 4"," 13.5"," 4"," 18.1","999.9","  48.0","*","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-06","58.458889","-3.093056","38.4","WICK, UK","  47.7"," 4","  45.2"," 4","1018.6"," 4","999.9"," 0"," 12.4"," 4"," 13.3"," 4"," 18.1","999.9","  48.9"," ","  45.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-07","58.458889","-3.093056","38.4","WICK, UK","  48.5"," 4","  45.3"," 4","1008.1"," 4","999.9"," 0"," 12.4"," 4"," 17.0"," 4"," 23.9","999.9","  50.0","*","  43.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-08","58.458889","-3.093056","38.4","WICK, UK","  40.5"," 4","  39.5"," 4","1004.2"," 4","999.9"," 0"," 12.4"," 4"," 25.7"," 4"," 36.9","999.9","  50.0"," ","  35.1","*","99.99"," ","999.9","010000"
"03075099999","1934-02-09","58.458889","-3.093056","38.4","WICK, UK","  46.3"," 4","  43.7"," 4","1009.9"," 4","999.9"," 0"," 12.4"," 4"," 17.2"," 4"," 23.9","999.9","  51.1","*","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-11","58.458889","-3.093056","38.4","WICK, UK","  45.7"," 4","  44.7"," 4","1019.0"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  50.0","*","  37.9"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-12","58.458889","-3.093056","38.4","WICK, UK","  45.8"," 4","  44.7"," 4","1033.1"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  50.0"," ","  42.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-13","58.458889","-3.093056","38.4","WICK, UK","  41.8"," 4","  38.4"," 4","1032.4"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  45.0","*","  33.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-14","58.458889","-3.093056","38.4","WICK, UK","  44.0"," 4","  43.0"," 4","1035.0"," 4","999.9"," 0"," 12.4"," 4","  8.0"," 4","  8.9","999.9","  46.9","*","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-15","58.458889","-3.093056","38.4","WICK, UK","  44.2"," 4","  43.2"," 4","1040.9"," 4","999.9"," 0"," 12.4"," 4","  8.0"," 4"," 13.0","999.9","  50.0","*","  36.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-16","58.458889","-3.093056","38.4","WICK, UK","  44.7"," 4","  42.3"," 4","1040.8"," 4","999.9"," 0"," 12.4"," 4","  7.0"," 4","  8.9","999.9","  50.0","*","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-17","58.458889","-3.093056","38.4","WICK, UK","  44.0"," 4","  42.3"," 4","1038.7"," 4","999.9"," 0"," 12.4"," 4","  9.0"," 4"," 13.0","999.9","  48.9","*","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-18","58.458889","-3.093056","38.4","WICK, UK","  46.2"," 4","  44.6"," 4","1031.2"," 4","999.9"," 0"," 12.4"," 4"," 14.3"," 4"," 18.1","999.9","  48.0","*","  43.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-20","58.458889","-3.093056","38.4","WICK, UK","  41.3"," 4","  40.2"," 4","1022.4"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  45.0","*","  36.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-21","58.458889","-3.093056","38.4","WICK, UK","  46.8"," 4","  45.0"," 4","1019.7"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  48.9","*","  45.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-22","58.458889","-3.093056","38.4","WICK, UK","  48.7"," 4","  47.0"," 4","1014.8"," 4","999.9"," 0"," 12.4"," 4"," 12.0"," 4"," 13.0","999.9","  52.0","*","  42.1"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-23","58.458889","-3.093056","38.4","WICK, UK","  48.7"," 4","  47.8"," 4","1012.8"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  53.1"," ","  46.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-24","58.458889","-3.093056","38.4","WICK, UK","  43.5"," 4","  42.5"," 4","1001.8"," 4","999.9"," 0"," 12.4"," 4"," 15.0"," 4"," 23.9","999.9","  52.0"," ","  41.0","*"," 0.00","I","999.9","000000"
"03075099999","1934-02-25","58.458889","-3.093056","38.4","WICK, UK","  37.5"," 4","  35.0"," 4","1007.2"," 4","999.9"," 0"," 12.4"," 4"," 15.0"," 4"," 23.9","999.9","  48.0"," ","  34.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-26","58.458889","-3.093056","38.4","WICK, UK","  29.8"," 4","  27.5"," 4","1020.6"," 4","999.9"," 0"," 12.4"," 4"," 25.4"," 4"," 29.9","999.9","  42.1"," ","  23.0"," ","99.99"," ","999.9","001000"
"03075099999","1934-02-27","58.458889","-3.093056","38.4","WICK, UK","  36.3"," 4","  31.5"," 4","1018.0"," 4","999.9"," 0"," 12.4"," 4"," 21.0"," 4"," 23.9","999.9","  37.0","*","  32.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-03","58.458889","-3.093056","38.4","WICK, UK","  38.0"," 4","  36.3"," 4","1005.2"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  46.9"," ","  33.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-04","58.458889","-3.093056","38.4","WICK, UK","  40.7"," 4","  39.0"," 4","1009.1"," 4","999.9"," 0"," 12.4"," 4"," 13.0"," 4"," 13.0","999.9","  46.9"," ","  34.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-05","58.458889","-3.093056","38.4","WICK, UK","  39.5"," 4","  37.7"," 4"," 990.2"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  46.9"," ","  37.0","*","99.99"," ","999.9","010000"
"03075099999","1934-03-06","58.458889","-3.093056","38.4","WICK, UK","  36.3"," 4","  34.5"," 4"," 985.4"," 4","999.9"," 0"," 12.4"," 4"," 14.7"," 4"," 23.9","999.9","  43.0"," ","  34.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-03-07","58.458889","-3.093056","38.4","WICK, UK","  34.5"," 4","  33.5"," 4"," 993.9"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  42.1"," ","  30.9"," ","99.99"," ","999.9","010000"
"03075099999","1934-03-08","58.458889","-3.093056","38.4","WICK, UK","  38.3"," 4","  35.7"," 4","1003.4"," 4","999.9"," 0"," 12.4"," 4","  9.0"," 4"," 13.0","999.9","  44.1","*","  33.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-09","58.458889","-3.093056","38.4","WICK, UK","  39.0"," 4","  31.8"," 4","1008.3"," 4","999.9"," 0"," 12.4"," 4","  7.0"," 4","  8.9","999.9","  45.0"," ","  30.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-10","58.458889","-3.093056","38.4","WICK, UK","  40.7"," 4","  36.0"," 4","1005.2"," 4","999.9"," 0"," 12.4"," 4"," 13.0"," 4"," 13.0","999.9","  44.1"," ","  36.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-11","58.458889","-3.093056","38.4","WICK, UK","  39.7"," 4","  34.0"," 4"," 998.0"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  42.1"," ","  37.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-12","58.458889","-3.093056","38.4","WICK, UK","  39.7"," 4","  36.5"," 4"," 997.9"," 4","999.9"," 0"," 12.4"," 4"," 33.7"," 4"," 36.9","999.9","  42.1"," ","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-13","58.458889","-3.093056","38.4","WICK, UK","  38.8"," 4","  33.3"," 4"," 998.9"," 4","999.9"," 0"," 12.4"," 4"," 14.5"," 4"," 18.1","999.9","  41.0"," ","  35.1"," ","99.99"," ","999.9","010100"
"03075099999","1934-03-14","58.458889","-3.093056","38.4","WICK, UK","  31.7"," 4","  30.8"," 4"," 988.3"," 4","999.9"," 0"," 12.4"," 4","  8.0"," 4","  8.9","999.9","  42.1"," ","  25.0"," "," 0.00","I","999.9","000000"
